Combat_ID,Total_Turn_Number,Character_Turn_Number,Player_Or_NPC,ATTACKER,TARGET,MOVE,Hit_Number,Damage_or_Healing,Targets_Current_HP,Target Max HP,Hasted_Flag,Haste_Value,Damage_Buff_Flag,Damage_Buff_Value,Target_damage_Taken_increase_flag,Target_damage_Taken_increase_amount 
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,4,1,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,4,1,91,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Poison1,1,4,4,0,72,120,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Slash,1,10,4,0,47,120,False,0,False,0,False,0
1,0,4,Enemy,Enemy 1,Hero 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,4,1,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,4,1,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,4,0,62,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,4,1,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,4,0,62,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Slash,1,10,4,0,37,120,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,4,Player,Hero 1,Enemy 1,Slash,1,10,4,0,12,120,False,0,False,0,False,0
1,0,4,Enemy,Enemy 1,Hero 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Slash,1,10,0,0,95,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Poison1,1,4,7,4,69,120,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Slash,1,10,7,3,37,120,False,0,False,0,False,0
1,0,4,Enemy,Enemy 1,Hero 1,Slash,1,10,128,200,False,0,False,0,False,0
1,0,4,Player,Hero 1,Enemy 1,Fire1,1,10,7,2,5,120,False,0,False,0,False,0
1,0,5,Enemy,Enemy 1,Hero 1,Slash,1,10,110,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,4,1,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,4,1,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,4,1,91,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Slash,1,10,95,120,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Fire1,1,10,70,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,2,Player,Hero 1,Enemy 1,Slash,1,10,70,120,False,0,False,0,False,0
1,0,2,Enemy,Enemy 1,Hero 1,Slash,1,10,164,200,False,0,False,0,False,0
1,0,3,Player,Hero 1,Enemy 1,Fire1,1,10,45,120,False,0,False,0,False,0
1,0,3,Enemy,Enemy 1,Hero 1,Slash,1,10,146,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
1,0,1,Enemy,Enemy 1,Hero 1,Slash,1,10,182,200,False,0,False,0,False,0
1,0,1,Player,Hero 1,Enemy 1,Fire1,1,10,95,120,False,0,False,0,False,0
